code,state,Abbreviation
1,Andaman and Nicobar Islands,AN
2,Andhra Pradesh,AP
3,Arunachal Pradesh,AR
4,Assam,AS
5,Bihar,BR
6,Chandigarh,CH
7,Chhattisgarh,CT
8,Dadra and Nagar Haveli and Daman and Diu,DN
9,Delhi,DL
10,Goa,GA
11,Gujarat,GJ
12,Haryana,HR
13,Himachal Pradesh,HP
14,Jammu and Kashmir,JK
15,Jharkhand,JH
16,Karnataka,KA
17,Kerala,KL
18,Ladakh,LA
19,Lakshadweep,LD
20,Madhya Pradesh,MP
21,Maharashtra,MH
22,Manipur,MN
23,Meghalaya,ML
24,Mizoram,MZ
25,Nagaland,NL
26,Odisha,OR
27,Puducherry,PY
28,Punjab,PB
29,Rajasthan,RJ
30,Sikkim,SK
31,Tamil Nadu,TN
32,Telangana,TG
33,Tripura,TR
34,Uttar Pradesh,UP
35,Uttarakhand,UT
36,West Bengal,WB
